Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-14749.3	-14771.3	21.983	0.112875	0.0913954	0.0924509	0.0897094	0.0940081	0.0611275	0.117232	0.0964551	0.0877437	0.165883	0.0811994	0.0741963	0.0896506	0.116127	0.10993	0.118192	0.109199	0.114487	0.127372	0.0744617	0.0863076	0.0856957	0.156655	0.0237813	0.0354234	0.0335609	0.0311342	0.0208668	0.0329569	0.0305865	0.0218305	0.0339328	0.0488595	0.0169587	0.0194067	0.0420576	0.0159981	0.0182088	0.0826731	0.0233365	0.0135002	0.0156353	0.0354715	0.225154	0.271717	0.0568313	0.0319111	0.406629	0.00775726	0.238432	0.217932	0.159474	0.384161	2.948534
210	-14751.7	-14775	23.2639	0.105845	0.0913954	0.0955053	0.0918501	0.087188	0.0729314	0.112787	0.0622419	0.0728664	0.165883	0.0611676	0.0672652	0.10213	0.0981841	0.111523	0.118192	0.120647	0.0956313	0.0945892	0.0792	0.0663105	0.0809265	0.156655	0.0218319	0.0342773	0.0383662	0.0341119	0.0272961	0.0313585	0.0273056	0.0224066	0.0460471	0.0490462	0.0181949	0.0225994	0.0367739	0.0208325	0.0288856	0.070882	0.0200404	0.0143889	0.0101434	0.0347461	0.226222	0.273006	0.0571008	0.025613	0.408558	0.00950006	0.239251	0.222211	0.157979	0.380559	2.820448
220	-14767.1	-14788	20.9312	0.140429	0.0930576	0.0847647	0.0981803	0.107424	0.0690546	0.1247	0.0902801	0.0810935	0.165883	0.0741906	0.0651608	0.102336	0.0956967	0.0809281	0.119999	0.14404	0.107022	0.095225	0.0880201	0.0941307	0.092617	0.165099	0.0133828	0.0307705	0.038695	0.0202989	0.0248216	0.0400703	0.0285293	0.0306284	0.0408632	0.066446	0.0258077	0.0345249	0.0469646	0.0245454	0.025569	0.0734085	0.0410346	0.00807084	0.0170997	0.0428449	0.226027	0.27277	0.0570515	0.0276166	0.408205	0.00832986	0.239251	0.222211	0.157979	0.380559	3.05371
230	-14750.8	-14773.8	22.9929	0.140429	0.0901579	0.0955547	0.0892227	0.0899138	0.068804	0.117198	0.0770965	0.0801006	0.165883	0.0630446	0.0589815	0.102336	0.0823907	0.086512	0.119999	0.113005	0.111599	0.095225	0.0855478	0.0852205	0.0706339	0.171369	0.0298805	0.0302358	0.0308993	0.0393234	0.0151479	0.0408662	0.0302328	0.0124887	0.0385851	0.0225764	0.0280842	0.0197082	0.0442872	0.0128133	0.0237222	0.0827868	0.0253817	0.0146209	0.0123298	0.0333515	0.225246	0.272813	0.057556	0.0284196	0.406795	0.00917126	0.232925	0.218521	0.178056	0.370498	2.847547
240	-14747.7	-14770.2	22.5278	0.118709	0.0890823	0.106623	0.0966468	0.0934852	0.0730357	0.108783	0.0693173	0.072578	0.164071	0.0864376	0.0698776	0.0807258	0.106773	0.108116	0.122804	0.117476	0.098437	0.110075	0.0609719	0.0782781	0.0955336	0.158725	0.0220861	0.0397106	0.0346842	0.0470772	0.0235697	0.0341277	0.0350611	0.0156937	0.0395887	0.0395935	0.00917812	0.0113307	0.0398628	0.0175853	0.020104	0.0915468	0.0342755	0.00959333	0.00746716	0.035351	0.233553	0.282875	0.0496651	0.0294678	0.396498	0.00794159	0.225043	0.211126	0.172031	0.3918	2.894049
250	-14759	-14782.2	23.2049	0.121318	0.107416	0.0926193	0.0873346	0.0950638	0.0739143	0.0912222	0.083916	0.0785298	0.159927	0.0690556	0.0722475	0.0957953	0.11195	0.108473	0.126429	0.11203	0.0823382	0.1251	0.0835229	0.09656	0.0756742	0.15158	0.0276409	0.0288874	0.0332904	0.0375789	0.0161469	0.0359246	0.0125833	0.0226636	0.050666	0.0481493	0.0139349	0.00864333	0.0343893	0.0115062	0.0209484	0.0487975	0.0162038	0.0108896	0.0191642	0.0263223	0.232787	0.281947	0.0495022	0.0223305	0.405517	0.00791555	0.225043	0.211126	0.172031	0.3918	2.826347
260	-14759.2	-14782.2	22.9922	0.11025	0.0942731	0.106539	0.111366	0.0812754	0.0695517	0.110796	0.07124	0.067502	0.155748	0.0707541	0.0643918	0.0769712	0.117608	0.0850841	0.120306	0.1295	0.105203	0.101651	0.0804112	0.064016	0.0736245	0.152866	0.018384	0.0404093	0.0460554	0.02953	0.0314204	0.0554454	0.0121261	0.0209055	0.03566	0.0411297	0.0152075	0.0153512	0.0433022	0.0178698	0.0249741	0.074366	0.0311791	0.0132127	0.0119817	0.0481766	0.239157	0.257062	0.0508568	0.0229415	0.416614	0.0133692	0.225043	0.211126	0.172031	0.3918	2.847616
270	-14748.8	-14771.9	23.0894	0.114611	0.112006	0.0968408	0.094703	0.103243	0.0688199	0.110796	0.0747586	0.082637	0.155748	0.0672747	0.0725237	0.0969532	0.0855579	0.0871886	0.113558	0.112213	0.0932091	0.108019	0.0732547	0.0910335	0.0807237	0.147582	0.0192989	0.0241697	0.050518	0.0298605	0.0243251	0.0393079	0.0185484	0.0160644	0.03765	0.0285304	0.0184933	0.0293976	0.0339916	0.0187578	0.0276493	0.066746	0.027102	0.0136431	0.0248976	0.0456844	0.249977	0.252414	0.0531577	0.0272734	0.405349	0.0118292	0.225043	0.211126	0.172031	0.3918	2.837889
280	-14758.2	-14780.6	22.393	0.122216	0.1108	0.0968328	0.100864	0.100615	0.0662744	0.104209	0.0691574	0.0964516	0.155748	0.0644665	0.060235	0.0973647	0.111812	0.115667	0.119246	0.121445	0.0911458	0.117385	0.0904727	0.0825951	0.0719548	0.136635	0.0254261	0.0491187	0.0280842	0.0508137	0.0244789	0.0299923	0.0281899	0.0178835	0.0525148	0.0292712	0.0105738	0.0137717	0.0295467	0.0174536	0.0254093	0.0879845	0.0313885	0.0108343	0.0101081	0.0310957	0.248247	0.238562	0.0521159	0.0289068	0.424215	0.00795314	0.225043	0.211126	0.172031	0.3918	2.907532
290	-14757	-14780	23.032	0.116914	0.0950706	0.0756514	0.0899938	0.0998611	0.0648279	0.124724	0.065373	0.0734406	0.167269	0.0733774	0.0652528	0.110186	0.081119	0.0928793	0.110037	0.111516	0.12421	0.134967	0.0683007	0.0825951	0.0743302	0.137713	0.0292425	0.0358859	0.0317649	0.0287381	0.0284605	0.0404237	0.0319075	0.0128875	0.0278885	0.0450678	0.0113009	0.0169906	0.0372596	0.012478	0.0216273	0.0919205	0.0239711	0.0211477	0.00749621	0.0475622	0.243532	0.249825	0.0511261	0.0313548	0.416158	0.00800402	0.226131	0.212147	0.172862	0.38886	2.84363
